"*Action","*Title","*Category","CustomLabel","*ConditionID","*StartPrice","*Quantity","*Format","*Duration","ShippingType","ShippingService-1:Option","ShippingService-1:Cost","DispatchTimeMax","Country","*Location","PicURL","Description","_dsz_sku","_cost","_shipping","_profit","_margin"
"Add","Title AU Stock","11700","DSZ-SKU","1000","17.99","1","FixedPrice","GTC","Free","AU_StandardDelivery","0.00","1","AU","Australia","https://res.cloudinary.com/smqochzy/image/fetch/l_rm_deliverandfree,w_1.00,fl_relative,g_north_west,x_0,y_-20,o_95/","<div style=""max-width:800px;font-family:Arial""><h1 style=""font-size:18px"">Title AU Stock</h1><div style=""background:#f4f6f9;padding:12px""><h3>Key Features</h3><p>Description...</p></div></div>","SKU","0.00","9.90","5.66","31.5%"
"Add","Bubble Hall Fiberglass Pickleball Paddle Set - Vibrant Design for Enhanced Gamep","43311","DSZ-V888-ELOSUNG12366","1000","76.99","981","FixedPrice","GTC","Free","AU_StandardDelivery","0.00","1","AU","Australia","https://res.cloudinary.com/smqochzy/image/fetch/l_rm_deliverandfree,w_1.00,fl_relative,g_north_west,x_0,y_-20,o_95/https://cdn.dropshipzone.com.au/media/catalog/product/V/8/V888-ELOSUNG12366-211871-00.jpg|https://cdn.dropshipzone.com.au/media/catalog/product/V/8/V888-ELOSUNG12366-211871-01.jpg|https://cdn.dropshipzone.com.au/media/catalog/product/V/8/V888-ELOSUNG12366-211871-02.jpg|https://cdn.dropshipzone.com.au/media/catalog/product/V/8/V888-ELOSUNG12366-211871-03.jpg|https://cdn.dropshipzone.com.au/media/catalog/product/V/8/V888-ELOSUNG12366-211871-04.jpg","<div style=""max-width:800px;font-family:Arial""><h1 style=""font-size:18px"">Bubble Hall Fiberglass Pickleball Paddle Set - Vibrant Design for Enhanced Gamep</h1><div style=""background:#f4f6f9;padding:12px""><h3>Key Features</h3><p>Bubble Hall Fiberglass Pickleball Paddle Set Elevate your pickleball experience with this premium fiberglass paddle set , featuring a vibrant and eye-catching design. Ideal for players of all levels, this set combines durability, precision, and style to enhance every match. Key Features: High-Qualit...</p></div></div>","V888-ELOSUNG12366","37.80","9.90","18.90","24.5%"
"Add","Silent Pet Hair Clipper - Electric Grooming Clippers for Dogs & Cats AU Stock","1281","DSZ-V888-ELOSUNG12212","1000","77.99","949","FixedPrice","GTC","Free","AU_StandardDelivery","0.00","1","AU","Australia","https://res.cloudinary.com/smqochzy/image/fetch/l_rm_deliverandfree,w_1.00,fl_relative,g_north_west,x_0,y_-20,o_95/https://cdn.dropshipzone.com.au/media/catalog/product/V/8/V888-ELOSUNG12212-210769-00.png|https://cdn.dropshipzone.com.au/media/catalog/product/V/8/V888-ELOSUNG12212-210769-01.jpg|https://cdn.dropshipzone.com.au/media/catalog/product/V/8/V888-ELOSUNG12212-210769-02.jpg|https://cdn.dropshipzone.com.au/media/catalog/product/V/8/V888-ELOSUNG12212-210769-03.jpg|https://cdn.dropshipzone.com.au/media/catalog/product/V/8/V888-ELOSUNG12212-210769-04.jpg","<div style=""max-width:800px;font-family:Arial""><h1 style=""font-size:18px"">Silent Pet Hair Clipper - Electric Grooming Clippers for Dogs & Cats AU Stock</h1><div style=""background:#f4f6f9;padding:12px""><h3>Key Features</h3><p>Silent Pet Hair Clipper â€“ Electric Grooming Clippers for Dogs & Cats Groom Your Pets Comfortably and Quietly Introducing our Silent Pet Hair Clipper , the perfect grooming tool for both dogs and cats. Designed with a focus on quiet operation, these electric clippers ensure a stress-free grooming e...</p></div></div>","V888-ELOSUNG12212","38.70","9.90","18.86","24.2%"
"Add","Rechargeable Heated Shoulder Massager with LED Display - Adjustable Compression","36444","DSZ-V888-ELOSUNG15101","1000","112.99","494","FixedPrice","GTC","Free","AU_StandardDelivery","0.00","1","AU","Australia","https://res.cloudinary.com/smqochzy/image/fetch/l_rm_deliverandfree,w_1.00,fl_relative,g_north_west,x_0,y_-20,o_95/https://cdn.dropshipzone.com.au/media/catalog/product/V/8/V888-ELOSUNG15101-212018-00.jpg|https://cdn.dropshipzone.com.au/media/catalog/product/V/8/V888-ELOSUNG15101-212018-01.jpg|https://cdn.dropshipzone.com.au/media/catalog/product/V/8/V888-ELOSUNG15101-212018-02.jpg|https://cdn.dropshipzone.com.au/media/catalog/product/V/8/V888-ELOSUNG15101-212018-03.jpg|https://cdn.dropshipzone.com.au/media/catalog/product/V/8/V888-ELOSUNG15101-212018-04.jpg","<div style=""max-width:800px;font-family:Arial""><h1 style=""font-size:18px"">Rechargeable Heated Shoulder Massager with LED Display - Adjustable Compression</h1><div style=""background:#f4f6f9;padding:12px""><h3>Key Features</h3><p>Rechargeable Heated Shoulder Massager with LED Display Experience soothing shoulder pain relief with our rechargeable heated shoulder massager. Featuring adjustable compression, three heat settings, vibration modes, and a user-friendly LED display, this breathable and ergonomic wrap ensures maximum ...</p></div></div>","V888-ELOSUNG15101","61.20","9.90","26.64","23.6%"
"Add","Portable Mini Massage Gun - Quiet Muscle Massager with 6 Speeds AU Stock","36444","DSZ-V888-ELOSUNG15526","1000","79.99","997","FixedPrice","GTC","Free","AU_StandardDelivery","0.00","1","AU","Australia","https://res.cloudinary.com/smqochzy/image/fetch/l_rm_deliverandfree,w_1.00,fl_relative,g_north_west,x_0,y_-20,o_95/https://cdn.dropshipzone.com.au/media/catalog/product/V/8/V888-ELOSUNG15526-214597-00.jpg|https://cdn.dropshipzone.com.au/media/catalog/product/V/8/V888-ELOSUNG15526-214597-01.jpg|https://cdn.dropshipzone.com.au/media/catalog/product/V/8/V888-ELOSUNG15526-214597-02.jpg|https://cdn.dropshipzone.com.au/media/catalog/product/V/8/V888-ELOSUNG15526-214597-03.jpg|https://cdn.dropshipzone.com.au/media/catalog/product/V/8/V888-ELOSUNG15526-214597-04.jpg","<div style=""max-width:800px;font-family:Arial""><h1 style=""font-size:18px"">Portable Mini Massage Gun - Quiet Muscle Massager with 6 Speeds AU Stock</h1><div style=""background:#f4f6f9;padding:12px""><h3>Key Features</h3><p>Portable Mini Massage Gun - Quiet Muscle Massager with 6 Speeds This compact and lightweight massage gun is the perfect solution for muscle relaxation and pain relief. Its ergonomic design and quiet operation make it ideal for use at home, work, or the gym. Key Features: Material: High-quality ABS p...</p></div></div>","V888-ELOSUNG15526","39.60","9.90","19.69","24.6%"
"Add","Yoga Mat Tote Bag - Multi-Purpose Gym Bag with Yoga Mat Holder AU Stock","11700","DSZ-V888-ELOSUNG16184","1000","57.99","995","FixedPrice","GTC","Free","AU_StandardDelivery","0.00","1","AU","Australia","https://res.cloudinary.com/smqochzy/image/fetch/l_rm_deliverandfree,w_1.00,fl_relative,g_north_west,x_0,y_-20,o_95/https://cdn.dropshipzone.com.au/media/catalog/product/V/8/V888-ELOSUNG16184-215004-00.jpg|https://cdn.dropshipzone.com.au/media/catalog/product/V/8/V888-ELOSUNG16184-215004-01.jpg|https://cdn.dropshipzone.com.au/media/catalog/product/V/8/V888-ELOSUNG16184-215004-02.jpg|https://cdn.dropshipzone.com.au/media/catalog/product/V/8/V888-ELOSUNG16184-215004-03.jpg|https://cdn.dropshipzone.com.au/media/catalog/product/V/8/V888-ELOSUNG16184-215004-04.jpg|https://cdn.dropshipzone.com.au/media/catalog/product/V/8/V888-ELOSUNG16184-215004-05.jpg","<div style=""max-width:800px;font-family:Arial""><h1 style=""font-size:18px"">Yoga Mat Tote Bag - Multi-Purpose Gym Bag with Yoga Mat Holder AU Stock</h1><div style=""background:#f4f6f9;padding:12px""><h3>Key Features</h3><p>Yoga Mat Tote Bag - Multi-Purpose Gym Bag with Yoga Mat Holder Stay organized and stylish with this versatile yoga mat tote bag. Designed for active lifestyles, it combines practicality with a sleek design, making it perfect for yoga sessions, gym workouts, or casual outings. Yoga Mat Holder: Built-...</p></div></div>","V888-ELOSUNG16184","26.10","9.90","14.16","24.4%"
